type,name,address,index
led,a1,0x10
led,a2,0x11
led,a3,0x12
led,a4,0x13
led,a5,0x14
led,a6,0x15
led,a7,0x16
led,a8,0x17
led,a9,0x18
led,a10,0x19
led,u6a,0x1a
led,u6c,0x1b
led,u7a,0x1c
led,u7c,0x1d
led,u8a,0x1e
led,u8c,0x1f
led,u9a,0x20
led,u9c,0x21
led,u10a,0x22
led,u10c,0x23
led,u11a,0x24
led,u11c,0x25
led,u12a,0x26
led,u12c,0x27
led,u13a,0x28
led,u13c,0x29
led,u14a,0x2a
led,u14c,0x2b
led,u15a,0x2c
led,u15c,0x2d
led,u16a,0x2e
led,u16c,0x2f
led,u17a,0x30
led,u17c,0x31
led,u18a,0x32
led,u18c,0x33
led,u19a,0x34
led,u19c,0x35
led,u20a,0x36
led,u20c,0x37
led,l16a,0x38
led,l16c,0x39
led,l17a,0x3a
led,l17c,0x3b
led,l18a,0x3c
led,l18c,0x3d
led,l19a,0x3e
led,l19c,0x3f
led,l20a,0x40
led,l20c,0x41
knob,l6a,0x80,0
knob,l6b,0x80,1
button,l6,0x80,0
button,l7,0x80,1
button,l8,0x80,2
button,l9,0x80,3
button,l10,0x80,4
button,l11,0x80,5
button,l12,0x80,6
button,l13,0x80,7
button,l14,0x81,0
button,l15,0x81,1
knob,u1a,0x82,0
knob,u1b,0x82,1
button,u1,0x82,0
relay,a1a,0x90,0
relay,a1b,0x90,1
relay,a1c,0x90,2
relay,a2a,0x91,0
relay,a2b,0x91,1
relay,a2c,0x91,2
relay,a3a,0x92,0
relay,a3b,0x92,1
relay,a3c,0x92,2
relay,a4a,0x93,0
relay,a4b,0x93,1
relay,a4c,0x93,2
relay,a5a,0x94,0
relay,a5b,0x94,1
relay,a5c,0x94,2
relay,a6a,0x95,0
relay,a6b,0x95,1
relay,a6c,0x95,2
relay,a7a,0x96,0
relay,a7b,0x96,1
relay,a7c,0x96,2
relay,a8a,0x97,0
relay,a8b,0x97,1
relay,a8c,0x97,2
relay,a9a,0x98,0
relay,a9b,0x98,1
relay,a9c,0x98,2
relay,a10a,0x99,0
relay,a10b,0x99,1
relay,a10c,0x99,2
relay,s1,0x9a,0
relay,s2,0x9a,1
relay,s3,0x9a,2
relay,s4,0x9b,3
relay,s5,0x9b,4
relay (mutopia),unp1,0xb0,0
relay (mutopia),unp2,0xb0,1
relay (mutopia),lnp1,0xb1,0
relay (mutopia),lnp2,0xb1,1
dpot,uns1,0xc0,0
dpot,uns2,0xc0,1
dpot,lns1,0xc1,0
dpot,lns2,0xc1,1
